Name	tvanderlippe	tnsmith	gweterings	eanker	jengel	fdcc10cc3acb56	6b78c832dcf13c	5d51c5b595ae72	94772f227ef9ba	eb9fe694db9e61	d8e0f6743031cd	402e44e3ae23d8	6db484d0ba963f	13833b4d85e18f	d8c6b3cfac0875	9c7985cbcb04cc	67fe7699f1d593	560fd2dba67af3	136e9b7fb8ca8e	761e0eb957d835	2d895fd013cec7	d802eb19e53a67	7c2da76a8c0af2	515b4def1c9cdd	da8370aee94100	cb8d4cb8a3f64e	0516465b87b2bc	13b12b045644c4	4d27d4b718421f	001f2b0c9b6568	e10824d3e6c6de	c7384204259753	e56179b44e9c6a	fb8b12f4653b0f	46380e3ee1e1f3	6e6ec03e1e799a	a34ab41d88176b	2bc0e737adcbdf	066d117c06b052	40cac5b54ac422	3a1624f51fa4d5	bc24a148bf6c4f	f5be3f01866643	014852b305be7b	733a7ca0e0aacb	fbd30adeb12538	99dd4ad739d876	8bc7e7b6bba43e	df1f012f3a1079	9e42ae8ef723ea	08540ecb90bfd3	f28b00fd780219	d93cda8bd41405	bac1660211d179	d2e0a1162f1da8	428d68b4d8b1c7	65917ee8e5218b	56e49301fc96e0	78ff9260b469b7	02f996c63b12ff	fc428c0c0d7617	dd0181d351df9a	8f323bb9bb6cd2	d456cf27d9f9d1	0ffbcc5d4033fc	2a78d71247cef6	cd1b9105116835	e561008dd07fb1	670ed470b0992c	515351eeaed508	bfa0ad45f218d8	120e9f9ae31977	cb3799e826f8ed	a446fc458b2dc8	9cf4e0a55e2244	fcff14a264cf24	3dfdf8b5e52e99	932d32fb378c9e	df91045c7b3344	9f250a4b8c301d	a0058e0c87e02c	e1644ee0ea9a42	234fc9c83d6c34	87708e95c9d3e3	229791ba766a99	5d4e0e19cb1e83	f3d975ac66bc0c	6ed4ec168cf9d5	58013046edea25	bca10b5d4c24b0	18a37df69ca9d0	46cdf7fa49e3bc	c7c341f95518c8	36d1eaa1648c72	0f8424af4cacbe	04dbe4a1699c15	045aab2116a067	610385f8a84d38	f48a7ea02aa04d	b310ef2a900fa7	b3d143a255044a	cb6acd7425c127	4fafb77174d270	8080e3cf27d901	a43d01309ec9cc	05e6371fa06f76
tvanderlippe	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tnsmith	        0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
gweterings	    0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eanker	        0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
jengel	        0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
fdcc10cc3acb56	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6b78c832dcf13c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5d51c5b595ae72	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
94772f227ef9ba	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
eb9fe694db9e61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
